id,event_time_utc,symbol,direction,primary_filter,entry_theoretical,sl_theoretical,tp_theoretical,levels_source,sl_multiplier,tp_multiplier,scan_score,final_ai_score,research_score,learning_score,dynamic_threshold,long_score,short_score,tf4h_status,macro_bias,vision_state,vision_approved,image_retained,exact_rejection_reason,window_4h_complete,first_static_hit,first_hit_at,mfe_r_before_exit,mae_r_before_exit,static_exit_r,trailing_approx_exit,trailing_approx_exit_r,hypothetical_pnl_usd_identifiable,verdict_4h
4,2026-06-23T02:07:46Z,SPCXUSDT,SHORT,RSI,153.96,158.4587112,144.9625776,production-defaults-reconstructed,1.5,2,0.743,61,,,,0,72,CONFIRMS,NEUTRAL,LATE_TREND,1,NO,RSI peligroso para SHORT: 19.9,YES,none,,0.82468063,0.1244801,0.66685765,horizon,0.66685765,,FALSE_NEGATIVE_PROFITABLE
6,2026-06-23T02:15:47Z,SKHYNIXUSDT,SHORT,IMAGE,1823.81,1873.57265585,1724.2846883,production-defaults-reconstructed,1.5,2,0.746,21,,,,15,70,CONTRADICTS,NEUTRAL,LATE_TREND,1,NO,LATE_TREND bloqueado — score=50 vol=3.58x (necesita score>=90+vol>=1.2x o score>=85+vol>=1.5x),YES,tp,2026-06-23T04:59:00Z,2.02581631,0.1159504,2,sl,0.5,,FALSE_NEGATIVE_PROFITABLE
8,2026-06-23T02:30:47Z,SPCXUSDT,SHORT,RSI,154.27,158.82636445,145.1572711,production-defaults-reconstructed,1.5,2,0.73,66,,,,0,77,CONFIRMS,NEUTRAL,LATE_TREND,0,NO,RSI peligroso para SHORT: 21.0,YES,none,,1.62410186,0.05047884,1.10395032,horizon,1.10395032,,FALSE_NEGATIVE_PROFITABLE
10,2026-06-23T02:45:46Z,DRAMUSDT,SHORT,IMAGE,75.89,77.89463435,71.8807313,production-defaults-reconstructed,1.5,2,0.643,46,,,,15,95,CONTRADICTS,NEUTRAL,MID_TREND,0,NO,"Chart MID_TREND + imagen rechaza: El precio está recuperándose desde los mínimos recientes, mostrando fortaleza alcista con velas verdes consecutivas y volumen creciente, lo que desaconseja abrir posiciones cortas en este momento.",YES,tp,2026-06-23T05:55:00Z,2.12008739,0.2194914,2,sl,0.03785728,,FALSE_NEGATIVE_PROFITABLE
12,2026-06-23T03:00:47Z,SPCXUSDT,SHORT,RSI,153.6,157.860096,145.079808,production-defaults-reconstructed,1.5,2,0.796,61,,,,0,72,CONFIRMS,NEUTRAL,LATE_TREND,0,NO,RSI peligroso para SHORT: 19.7,YES,none,,1.57977661,0.03286311,1.10560889,horizon,1.10560889,,FALSE_NEGATIVE_PROFITABLE
14,2026-06-23T03:15:48Z,SPCXUSDT,SHORT,RSI,153.04,157.4200048,144.2799904,production-defaults-reconstructed,1.5,2,0.816,61,,,,0,72,CONFIRMS,NEUTRAL,LATE_TREND,1,NO,RSI peligroso para SHORT: 19.1,YES,none,,1.40867426,0.15981718,0.33333297,horizon,0.33333297,,FALSE_NEGATIVE_PROFITABLE
16,2026-06-23T03:30:50Z,SKHYNIXUSDT,SHORT,RSI,1764.93,1817.2954731,1660.1990538,production-defaults-reconstructed,1.5,2,0.833,41,,,,15,90,CONTRADICTS,NEUTRAL,LATE_TREND,1,NO,RSI peligroso para SHORT: 24.0,YES,none,,1.92741503,0.76634465,0.76500789,horizon,0.76500789,,FALSE_NEGATIVE_PROFITABLE
18,2026-06-23T03:45:48Z,MRVLUSDT,SHORT,IMAGE,291.1,298.269793,276.760414,production-defaults-reconstructed,1.5,2,0.738,32,,,,0,72,NEUTRAL,NEUTRAL,LATE_TREND,1,NO,LATE_TREND bloqueado — score=67 vol=0.76x (necesita score>=90+vol>=1.2x o score>=85+vol>=1.5x),YES,none,,1.40031937,0.30126393,0.62344896,horizon,0.62344896,,FALSE_NEGATIVE_PROFITABLE
20,2026-06-23T04:00:48Z,DRAMUSDT,SHORT,AI_CONTEXT,75.79,77.7544768,71.8610464,production-defaults-reconstructed,1.5,2,0.718,50,,,,15,95,NEUTRAL,NEUTRAL,LATE_TREND,1,NO,"AI rechaza: Conflicto crítico: señal de inteligencia bloquea operación, contexto macro neutral con miedo extremo (23/100), y RSI sobrevendido (29.17) genera riesgo alto de rebote contra tu corto.",YES,tp,2026-06-23T05:55:00Z,2.11252177,0.04581373,2,tp,2,,FALSE_NEGATIVE_PROFITABLE
22,2026-06-23T04:15:52Z,SKHYNIXUSDT,SHORT,IMAGE,1777.36,1832.7069904,1666.6660192,production-defaults-reconstructed,1.5,2,0.834,25,,,,15,90,CONTRADICTS,NEUTRAL,LATE_TREND,1,NO,LATE_TREND bloqueado — score=70 vol=3.54x (necesita score>=90+vol>=1.2x o score>=85+vol>=1.5x),YES,tp,2026-06-23T06:12:00Z,2.01004606,0,2,tp,2,,FALSE_NEGATIVE_PROFITABLE
24,2026-06-23T04:30:47Z,SPCXUSDT,SHORT,RSI,152.91,157.26564135,144.1987173,production-defaults-reconstructed,1.5,2,0.702,45,,,,0,72,CONFIRMS,NEUTRAL,LATE_TREND,0,NO,RSI peligroso para SHORT: 19.1,YES,none,,1.38670738,0.16071112,0.8288102,horizon,0.8288102,,FALSE_NEGATIVE_PROFITABLE
26,2026-06-23T04:45:49Z,SPCXUSDT,SHORT,RSI,153,157.35591,144.28818,production-defaults-reconstructed,1.5,2,0.699,45,,,,0,72,CONFIRMS,NEUTRAL,LATE_TREND,1,NO,RSI peligroso para SHORT: 19.4,YES,none,,1.40728344,0.14003962,1.18000601,horizon,1.18000601,,FALSE_NEGATIVE_PROFITABLE
28,2026-06-23T05:00:50Z,MRVLUSDT,SHORT,IMAGE,290.03,296.63833355,276.8133329,production-defaults-reconstructed,1.5,2,0.727,32,,,,0,72,NEUTRAL,NEUTRAL,LATE_TREND,1,NO,LATE_TREND bloqueado — score=67 vol=0.40x (necesita score>=90+vol>=1.2x o score>=85+vol>=1.5x),YES,none,,1.45119793,0.20731399,0.8640605,sl,0.04388852,,FALSE_NEGATIVE_PROFITABLE
30,2026-06-23T05:15:50Z,SNDKUSDT,SHORT,IMAGE,2152.41,2201.77552335,2053.6789533,production-defaults-reconstructed,1.5,2,0.741,17,,,,0,82,CONTRADICTS,NEUTRAL,LATE_TREND,1,NO,LATE_TREND bloqueado — score=62 vol=0.59x (necesita score>=90+vol>=1.2x o score>=85+vol>=1.5x),YES,tp,2026-06-23T08:17:00Z,2.02388212,0.08507962,2,sl,0.04360148,,FALSE_NEGATIVE_PROFITABLE
